"time","x","y","z"
41.19,12.7260683466765,16.0635091363411,28.6095708980001
41.29,12.1269150237502,7.51147257027646,36.1528339328934
41.39,6.43660396997701,1.2814533821269,30.759818940086
41.49,3.04883584040675,1.32119377711382,23.9668013621638
41.59,2.47221247558946,2.84212453571643,18.8134221736388
41.69,3.64758182087125,5.6856581250626,15.5115993811718
41.79,6.83232009622188,11.3150183552134,15.7530864641066
41.89,12.2374688210293,17.583226959956,24.9185851136705
41.99,13.7824225396658,10.1605831397538,37.4256915228989
42.09,7.34073757789478,0.504292172178813,33.035199191211
42.19,2.53321086676976,-0.237510128581263,25.2315989382134
42.29,1.09459857243662,0.625295234344008,19.3454898986977
42.39,1.15621542639474,1.66474224604071,14.9218236505718
42.49,2.15030296568728,3.74249554680011,11.8068344792166
42.59,4.76211077386895,8.70253861020413,10.881558111431
42.69,10.552860046301,18.0205965986624,17.5042366627413
42.79,16.098192393782,16.2712130220969,37.3525021511722
42.89,9.45240362542345,-0.540145008017278,37.3591643248248
42.99,1.75667074334845,-3.09223367782592,27.6053475078803
43.09,-1.19958012363154,-2.94603827167752,21.1502858428102
43.19,-2.75202341986358,-4.46026409603633,16.8453157285455
43.29,-5.17929116991389,-8.5771335644799,15.1347547454591
43.39,-9.82731369932086,-15.5183474000833,19.7052358513808
43.49,-14.2538486276883,-15.3400020302993,33.615713327639
43.59,-10.3776676724623,-3.21604879032185,36.2223772489651
43.69,-4.10682167553783,0.307958264294918,28.2848623005669
43.79,-1.52130742738453,-0.367932663282979,21.6450116332448
43.89,-1.14686142277428,-1.3635347592093,16.6688151504127
43.99,-1.83523796218746,-3.04347404031468,13.0428193000986
44.09,-3.85500631512062,-6.93281667251576,11.199098398576
44.19,-8.58540401097197,-15.137893649567,14.6029053987271
44.29,-15.2838510957493,-19.4879783762756,31.7640966769478
44.39,-12.1794362696689,-3.01787530613104,39.6860904934096
44.49,-3.5068850671215,2.8360937860595,29.9538892461134
44.59,0.410578397017908,2.56597424704376,22.6678042984562
44.69,1.96994024126689,3.34687446028599,17.6898168938208
44.79,3.77414845073594,6.26444268944933,14.7374851870382
44.89,7.44494637959156,12.4634720028835,15.881775122362
44.99,13.1170332479897,18.0687524852241,27.0740774374655
45.09,13.304411261025,8.01588203132422,38.1797736159044
45.19,6.22917230593086,-0.313046612105673,31.8815014420424
45.29,1.88904608197719,-0.475015725573347,24.2185698302665
45.39,0.666301579867583,0.235028250249522,18.5351401784384
45.49,0.617847377969456,0.867429799671425,14.2248580583197
45.59,1.15351008650288,2.03503555061403,11.0034127385432
45.69,2.64307052281044,4.96105472264515,8.99028398522998
45.79,6.45615991485333,12.1728787459388,10.2346841138814
45.89,14.0079472363423,21.9307268437973,24.3122492700505
45.99,15.2932122130285,7.7707767622613,42.4734894533989
46.09,5.03329626541494,-4.04413371300921,33.1770101269954
46.19,-0.825233740616689,-4.12356203489735,24.8543709619063
46.29,-3.11626287146017,-4.99730221824041,19.8739963299067
46.39,-5.39921744723973,-8.35435075883271,17.6928744561254
46.49,-9.26480556318261,-13.8743613859153,20.8471795456441
46.59,-13.0372670543919,-14.5682211805262,31.3168532031036
46.69,-10.7754827778182,-5.51867180926081,35.1129569293622
46.79,-5.57013730991502,-1.48260497366599,28.9735936340884
46.89,-3.11816490049457,-2.11541773167503,22.7630862908437
46.99,-3.14777596245162,-4.09182494886763,18.231201017445
47.09,-5.01440212551243,-7.90615578218779,16.0578480236325
47.19,-9.1028983900594,-14.2643451542976,19.2655842644191
47.29,-13.6398497830505,-15.8211832855926,31.4618791489149
47.39,-11.1971057211775,-5.02249411845936,36.343559190656
47.49,-5.1078562558306,-0.388205102503612,29.2960839772268
47.59,-2.23879683114182,-0.926667186248988,22.5816688924561
47.69,-1.88468250372242,-2.30287491688559,17.5608518766037
47.79,-2.98193555149534,-4.83646465627176,14.183287359893
47.89,-5.94881770806598,-10.263422454814,13.7720495949326
47.99,-11.6534083140176,-18.0839189693146,21.997909068856
48.09,-14.8337302289692,-12.444839524104,37.807757903421
48.19,-8.1107232250543,-0.0179377103667167,34.7241664559628
48.29,-2.19951715546874,1.36681595298181,26.1690157364514
48.39,-0.150224264400465,0.870200456375091,19.949307744306
