,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors
149,Combined_Network,0.9901,0.9899,0.0324,0.0322,0.0032756,0.0033599,716,0.04,150,716,0.0404673,4,1.3,0.3,5
150,Combined_Network,0.9901,0.9899,0.0323,0.0321,0.003265,0.0033532,720,0.03,151,720,0.0404673,4,1.3,0.3,5
151,Combined_Network,0.9901,0.9899,0.0324,0.0322,0.0032663,0.0033542,722,0.03,152,722,0.0404673,4,1.3,0.3,5
152,Combined_Network,0.9903,0.99,0.0321,0.0319,0.0032108,0.0033125,725,0.04,153,725,0.0404673,4,1.3,0.3,5
153,Combined_Network,0.9903,0.99,0.0321,0.0319,0.0032098,0.0033084,729,0.04,154,729,0.0404673,4,1.3,0.3,5
154,Combined_Network,0.9903,0.99,0.0321,0.0319,0.0032093,0.0033082,732,0.05,155,732,0.0404673,4,1.3,0.3,5
155,Combined_Network,0.9904,0.9901,0.0319,0.0318,0.003172,0.0032755,741,0.05,156,741,0.0404673,4,1.3,0.3,5
156,Combined_Network,0.9905,0.9903,0.0317,0.0316,0.0031386,0.0032365,746,0.04,157,746,0.0404673,4,1.3,0.3,5
157,Combined_Network,0.9905,0.9903,0.0317,0.0315,0.0031276,0.003219,749,0.06,158,749,0.0404673,4,1.3,0.3,5
158,Combined_Network,0.9906,0.9903,0.0316,0.0315,0.003115,0.0032145,759,0.05,159,759,0.0404673,4,1.3,0.3,5
159,Combined_Network,0.9906,0.9905,0.0315,0.0312,0.0030925,0.0031548,768,0.05,160,768,0.0404673,4,1.3,0.3,5
160,Combined_Network,0.9906,0.9905,0.0315,0.0312,0.0030896,0.0031513,772,0.05,161,772,0.0404673,4,1.3,0.3,5
161,Combined_Network,0.9907,0.9906,0.0314,0.0311,0.0030786,0.0031339,779,0.05,162,779,0.0404673,4,1.3,0.3,5
162,Combined_Network,0.9907,0.9906,0.0314,0.031,0.0030727,0.0031218,806,0.05,163,806,0.0404673,4,1.3,0.3,5
163,Combined_Network,0.9907,0.9906,0.0314,0.031,0.0030732,0.0031272,810,0.06,164,810,0.0404673,4,1.3,0.3,5
164,Combined_Network,0.9907,0.9906,0.0314,0.031,0.0030721,0.0031283,812,0.06,165,812,0.0404673,4,1.3,0.3,5
165,Combined_Network,0.9907,0.9906,0.0314,0.031,0.0030694,0.0031254,817,0.06,166,817,0.0404673,4,1.3,0.3,5
166,Combined_Network,0.9907,0.9906,0.0314,0.031,0.0030681,0.0031262,819,0.06,167,819,0.0404673,4,1.3,0.3,5
167,Combined_Network,0.991,0.9906,0.0309,0.0311,0.0029804,0.0031377,830,0.06,168,830,0.0404673,4,1.3,0.3,5
168,Combined_Network,0.9911,0.9907,0.0307,0.0309,0.0029427,0.0031013,837,0.06,169,837,0.0404673,4,1.3,0.3,5
169,Combined_Network,0.9911,0.9907,0.0306,0.0309,0.0029288,0.0030928,848,0.06,170,848,0.0404673,4,1.3,0.3,5
170,Combined_Network,0.9912,0.9908,0.0305,0.0307,0.0029073,0.0030619,851,0.07,171,851,0.0404673,4,1.3,0.3,5
171,Combined_Network,0.9912,0.9909,0.0305,0.0306,0.0028991,0.0030452,863,0.07,172,863,0.0404673,4,1.3,0.3,5
172,Combined_Network,0.9912,0.991,0.0305,0.0305,0.0028941,0.0030113,865,0.06,173,865,0.0404673,4,1.3,0.3,5
173,Combined_Network,0.9912,0.991,0.0304,0.0305,0.0028928,0.0030117,867,0.07,174,867,0.0404673,4,1.3,0.3,5
174,Combined_Network,0.9912,0.9909,0.0305,0.0306,0.0028958,0.0030296,870,0.06,175,870,0.0404673,4,1.3,0.3,5
175,Combined_Network,0.9913,0.9909,0.0304,0.0306,0.0028871,0.003031,881,0.06,176,881,0.0404673,4,1.3,0.3,5
176,Combined_Network,0.9914,0.991,0.0301,0.0303,0.0028328,0.0029865,885,0.08,177,885,0.0404673,4,1.3,0.3,5
177,Combined_Network,0.9914,0.9911,0.0301,0.0303,0.0028254,0.0029758,892,0.07,178,892,0.0404673,4,1.3,0.3,5
178,Combined_Network,0.9914,0.9911,0.0301,0.0303,0.0028248,0.0029761,894,0.07,179,894,0.0404673,4,1.3,0.3,5
